Month,ARR_M,ARR_Plan_M,Pipeline_Coverage_x,Forecast_Accuracy_pct,Implementation_Utilization_pct,Customer_Retention_pct,ARR_Variance_M
2025-08-01,18.4,18.5,3.8,88,79,98.3,-0.10000000000000142
2025-09-01,18.8,18.9,3.7,89,81,98.1,-0.09999999999999787
2025-10-01,19.2,19.3,3.6,89,82,98.0,-0.10000000000000142
2025-11-01,19.7,19.8,3.6,90,84,97.9,-0.10000000000000142
2025-12-01,20.1,20.2,3.5,91,85,97.8,-0.09999999999999787
2026-01-01,20.6,20.7,3.4,91,86,97.7,-0.09999999999999787
2026-02-01,21.0,21.2,3.4,92,88,97.6,-0.1999999999999993
2026-03-01,21.5,21.7,3.3,91,89,97.6,-0.1999999999999993
2026-04-01,21.9,22.2,3.2,90,90,97.5,-0.3000000000000007
2026-05-01,22.3,22.7,3.1,89,92,97.4,-0.3999999999999986
2026-06-01,22.8,23.3,2.9,87,94,97.2,-0.5
2026-07-01,23.2,23.9,2.8,86,93,97.1,-0.6999999999999993
